number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 1525 , error before = 19106.447996 , error next = 19106.708904 , error change = -0.260908 , lambda = 2.000000 , time consumption = 0.468429s

successful step! iteration = 1526 , error before = 19106.447996 , error next = 19106.243476 , error change = 0.204520 , lambda = 0.200000 , time consumption = 0.484532s

unsuccessful step! iteration = 1527 , error before = 19106.243476 , error next = 19106.501269 , error change = -0.257793 , lambda = 2.000000 , time consumption = 0.473300s

successful step! iteration = 1528 , error before = 19106.243476 , error next = 19106.041397 , error change = 0.202079 , lambda = 0.200000 , time consumption = 0.478697s

unsuccessful step! iteration = 1529 , error before = 19106.041397 , error next = 19106.296113 , error change = -0.254716 , lambda = 2.000000 , time consumption = 0.492848s

successful step! iteration = 1530 , error before = 19106.041397 , error next = 19105.841731 , error change = 0.199666 , lambda = 0.200000 , time consumption = 0.468126s

unsuccessful step! iteration = 1531 , error before = 19105.841731 , error next = 19106.093406 , error change = -0.251675 , lambda = 2.000000 , time consumption = 0.468138s

successful step! iteration = 1532 , error before = 19105.841731 , error next = 19105.644449 , error change = 0.197282 , lambda = 0.200000 , time consumption = 0.462338s

unsuccessful step! iteration = 1533 , error before = 19105.644449 , error next = 19105.893119 , error change = -0.248670 , lambda = 2.000000 , time consumption = 0.480357s

successful step! iteration = 1534 , error before = 19105.644449 , error next = 19105.449522 , error change = 0.194927 , lambda = 0.200000 , time consumption = 0.465194s

unsuccessful step! iteration = 1535 , error before = 19105.449522 , error next = 19105.695223 , error change = -0.245701 , lambda = 2.000000 , time consumption = 0.467976s

successful step! iteration = 1536 , error before = 19105.449522 , error next = 19105.256922 , error change = 0.192600 , lambda = 0.200000 , time consumption = 0.456210s

unsuccessful step! iteration = 1537 , error before = 19105.256922 , error next = 19105.499690 , error change = -0.242768 , lambda = 2.000000 , time consumption = 0.456515s

successful step! iteration = 1538 , error before = 19105.256922 , error next = 19105.066622 , error change = 0.190300 , lambda = 0.200000 , time consumption = 0.454644s

unsuccessful step! iteration = 1539 , error before = 19105.066622 , error next = 19105.306491 , error change = -0.239869 , lambda = 2.000000 , time consumption = 0.454541s

successful step! iteration = 1540 , error before = 19105.066622 , error next = 19104.878595 , error change = 0.188028 , lambda = 0.200000 , time consumption = 0.463871s

unsuccessful step! iteration = 1541 , error before = 19104.878595 , error next = 19105.115600 , error change = -0.237005 , lambda = 2.000000 , time consumption = 0.474224s

successful step! iteration = 1542 , error before = 19104.878595 , error next = 19104.692812 , error change = 0.185782 , lambda = 0.200000 , time consumption = 0.464128s

unsuccessful step! iteration = 1543 , error before = 19104.692812 , error next = 19104.926987 , error change = -0.234175 , lambda = 2.000000 , time consumption = 0.465297s

successful step! iteration = 1544 , error before = 19104.692812 , error next = 19104.509248 , error change = 0.183564 , lambda = 0.200000 , time consumption = 0.473171s

unsuccessful step! iteration = 1545 , error before = 19104.509248 , error next = 19104.740627 , error change = -0.231379 , lambda = 2.000000 , time consumption = 0.463493s

successful step! iteration = 1546 , error before = 19104.509248 , error next = 19104.327876 , error change = 0.181372 , lambda = 0.200000 , time consumption = 0.469188s

unsuccessful step! iteration = 1547 , error before = 19104.327876 , error next = 19104.556492 , error change = -0.228616 , lambda = 2.000000 , time consumption = 0.462534s

successful step! iteration = 1548 , error before = 19104.327876 , error next = 19104.148671 , error change = 0.179206 , lambda = 0.200000 , time consumption = 0.466960s

unsuccessful step! iteration = 1549 , error before = 19104.148671 , error next = 19104.374556 , error change = -0.225886 , lambda = 2.000000 , time consumption = 0.463556s

successful step! iteration = 1550 , error before = 19104.148671 , error next = 19103.971605 , error change = 0.177066 , lambda = 0.200000 , time consumption = 0.466764s

unsuccessful step! iteration = 1551 , error before = 19103.971605 , error next = 19104.194793 , error change = -0.223188 , lambda = 2.000000 , time consumption = 0.475144s

successful step! iteration = 1552 , error before = 19103.971605 , error next = 19103.796653 , error change = 0.174951 , lambda = 0.200000 , time consumption = 0.470914s

unsuccessful step! iteration = 1553 , error before = 19103.796653 , error next = 19104.017176 , error change = -0.220523 , lambda = 2.000000 , time consumption = 0.455701s

successful step! iteration = 1554 , error before = 19103.796653 , error next = 19103.623792 , error change = 0.172862 , lambda = 0.200000 , time consumption = 0.453842s

unsuccessful step! iteration = 1555 , error before = 19103.623792 , error next = 19103.841681 , error change = -0.217889 , lambda = 2.000000 , time consumption = 0.455736s

successful step! iteration = 1556 , error before = 19103.623792 , error next = 19103.452994 , error change = 0.170797 , lambda = 0.200000 , time consumption = 0.457784s

unsuccessful step! iteration = 1557 , error before = 19103.452994 , error next = 19103.668281 , error change = -0.215287 , lambda = 2.000000 , time consumption = 0.459063s

successful step! iteration = 1558 , error before = 19103.452994 , error next = 19103.284237 , error change = 0.168757 , lambda = 0.200000 , time consumption = 0.456744s

unsuccessful step! iteration = 1559 , error before = 19103.284237 , error next = 19103.496952 , error change = -0.212715 , lambda = 2.000000 , time consumption = 0.456864s

successful step! iteration = 1560 , error before = 19103.284237 , error next = 19103.117495 , error change = 0.166742 , lambda = 0.200000 , time consumption = 0.455470s

unsuccessful step! iteration = 1561 , error before = 19103.117495 , error next = 19103.327670 , error change = -0.210175 , lambda = 2.000000 , time consumption = 0.454055s

successful step! iteration = 1562 , error before = 19103.117495 , error next = 19102.952745 , error change = 0.164750 , lambda = 0.200000 , time consumption = 0.455525s

unsuccessful step! iteration = 1563 , error before = 19102.952745 , error next = 19103.160410 , error change = -0.207664 , lambda = 2.000000 , time consumption = 0.464821s

successful step! iteration = 1564 , error before = 19102.952745 , error next = 19102.789963 , error change = 0.162782 , lambda = 0.200000 , time consumption = 0.455441s

unsuccessful step! iteration = 1565 , error before = 19102.789963 , error next = 19102.995147 , error change = -0.205184 , lambda = 2.000000 , time consumption = 0.460023s

successful step! iteration = 1566 , error before = 19102.789963 , error next = 19102.629126 , error change = 0.160838 , lambda = 0.200000 , time consumption = 0.469457s

unsuccessful step! iteration = 1567 , error before = 19102.629126 , error next = 19102.831859 , error change = -0.202733 , lambda = 2.000000 , time consumption = 0.473125s

successful step! iteration = 1568 , error before = 19102.629126 , error next = 19102.470209 , error change = 0.158916 , lambda = 0.200000 , time consumption = 0.475612s

unsuccessful step! iteration = 1569 , error before = 19102.470209 , error next = 19102.670520 , error change = -0.200311 , lambda = 2.000000 , time consumption = 0.469856s

successful step! iteration = 1570 , error before = 19102.470209 , error next = 19102.313191 , error change = 0.157018 , lambda = 0.200000 , time consumption = 0.474772s

unsuccessful step! iteration = 1571 , error before = 19102.313191 , error next = 19102.511109 , error change = -0.197918 , lambda = 2.000000 , time consumption = 0.472191s

successful step! iteration = 1572 , error before = 19102.313191 , error next = 19102.158049 , error change = 0.155142 , lambda = 0.200000 , time consumption = 0.480025s

unsuccessful step! iteration = 1573 , error before = 19102.158049 , error next = 19102.353603 , error change = -0.195554 , lambda = 2.000000 , time consumption = 0.461963s

successful step! iteration = 1574 , error before = 19102.158049 , error next = 19102.004760 , error change = 0.153289 , lambda = 0.200000 , time consumption = 0.459853s

unsuccessful step! iteration = 1575 , error before = 19102.004760 , error next = 19102.197978 , error change = -0.193218 , lambda = 2.000000 , time consumption = 0.460014s

successful step! iteration = 1576 , error before = 19102.004760 , error next = 19101.853302 , error change = 0.151458 , lambda = 0.200000 , time consumption = 0.464197s

unsuccessful step! iteration = 1577 , error before = 19101.853302 , error next = 19102.044212 , error change = -0.190910 , lambda = 2.000000 , time consumption = 0.479833s

successful step! iteration = 1578 , error before = 19101.853302 , error next = 19101.703654 , error change = 0.149648 , lambda = 0.200000 , time consumption = 0.481982s

unsuccessful step! iteration = 1579 , error before = 19101.703654 , error next = 19101.892283 , error change = -0.188629 , lambda = 2.000000 , time consumption = 0.468490s

successful step! iteration = 1580 , error before = 19101.703654 , error next = 19101.555793 , error change = 0.147860 , lambda = 0.200000 , time consumption = 0.473492s

unsuccessful step! iteration = 1581 , error before = 19101.555793 , error next = 19101.742169 , error change = -0.186375 , lambda = 2.000000 , time consumption = 0.476662s

successful step! iteration = 1582 , error before = 19101.555793 , error next = 19101.409700 , error change = 0.146094 , lambda = 0.200000 , time consumption = 0.464462s

unsuccessful step! iteration = 1583 , error before = 19101.409700 , error next = 19101.593848 , error change = -0.184149 , lambda = 2.000000 , time consumption = 0.466209s

successful step! iteration = 1584 , error before = 19101.409700 , error next = 19101.265351 , error change = 0.144348 , lambda = 0.200000 , time consumption = 0.473973s

unsuccessful step! iteration = 1585 , error before = 19101.265351 , error next = 19101.447300 , error change = -0.181948 , lambda = 2.000000 , time consumption = 0.487513s

successful step! iteration = 1586 , error before = 19101.265351 , error next = 19101.122728 , error change = 0.142624 , lambda = 0.200000 , time consumption = 0.471713s

unsuccessful step! iteration = 1587 , error before = 19101.122728 , error next = 19101.302502 , error change = -0.179775 , lambda = 2.000000 , time consumption = 0.508310s

successful step! iteration = 1588 , error before = 19101.122728 , error next = 19100.981809 , error change = 0.140919 , lambda = 0.200000 , time consumption = 0.472139s

unsuccessful step! iteration = 1589 , error before = 19100.981809 , error next = 19101.159435 , error change = -0.177626 , lambda = 2.000000 , time consumption = 0.491795s

successful step! iteration = 1590 , error before = 19100.981809 , error next = 19100.842573 , error change = 0.139236 , lambda = 0.200000 , time consumption = 0.481685s

unsuccessful step! iteration = 1591 , error before = 19100.842573 , error next = 19101.018077 , error change = -0.175504 , lambda = 2.000000 , time consumption = 0.468198s
