number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 163 , error before = 63433.881880 , error next = 64008.832015 , error change = -574.950135 , lambda = 2.000000 , time consumption = 0.470217s

successful step! iteration = 164 , error before = 63433.881880 , error next = 62982.101677 , error change = 451.780203 , lambda = 0.200000 , time consumption = 0.459236s

unsuccessful step! iteration = 165 , error before = 62982.101677 , error next = 63551.242551 , error change = -569.140874 , lambda = 2.000000 , time consumption = 0.459436s

successful step! iteration = 166 , error before = 62982.101677 , error next = 62534.844716 , error change = 447.256961 , lambda = 0.200000 , time consumption = 0.460977s

unsuccessful step! iteration = 167 , error before = 62534.844716 , error next = 63098.265895 , error change = -563.421179 , lambda = 2.000000 , time consumption = 0.460514s

successful step! iteration = 168 , error before = 62534.844716 , error next = 62092.045217 , error change = 442.799499 , lambda = 0.200000 , time consumption = 0.467890s

unsuccessful step! iteration = 169 , error before = 62092.045217 , error next = 62649.831903 , error change = -557.786687 , lambda = 2.000000 , time consumption = 0.460514s

successful step! iteration = 170 , error before = 62092.045217 , error next = 61653.640412 , error change = 438.404804 , lambda = 0.200000 , time consumption = 0.465611s

unsuccessful step! iteration = 171 , error before = 61653.640412 , error next = 62205.873801 , error change = -552.233389 , lambda = 2.000000 , time consumption = 0.460263s

successful step! iteration = 172 , error before = 61653.640412 , error next = 61219.570303 , error change = 434.070109 , lambda = 0.200000 , time consumption = 0.469745s

unsuccessful step! iteration = 173 , error before = 61219.570303 , error next = 61766.327907 , error change = -546.757604 , lambda = 2.000000 , time consumption = 0.462085s

successful step! iteration = 174 , error before = 61219.570303 , error next = 60789.777435 , error change = 429.792868 , lambda = 0.200000 , time consumption = 0.459896s

unsuccessful step! iteration = 175 , error before = 60789.777435 , error next = 61331.133384 , error change = -541.355949 , lambda = 2.000000 , time consumption = 0.478675s

successful step! iteration = 176 , error before = 60789.777435 , error next = 60364.206697 , error change = 425.570738 , lambda = 0.200000 , time consumption = 0.460086s

unsuccessful step! iteration = 177 , error before = 60364.206697 , error next = 60900.232008 , error change = -536.025311 , lambda = 2.000000 , time consumption = 0.455551s

successful step! iteration = 178 , error before = 60364.206697 , error next = 59942.805134 , error change = 421.401563 , lambda = 0.200000 , time consumption = 0.456801s

unsuccessful step! iteration = 179 , error before = 59942.805134 , error next = 60473.567962 , error change = -530.762828 , lambda = 2.000000 , time consumption = 0.454774s

successful step! iteration = 180 , error before = 59942.805134 , error next = 59525.521779 , error change = 417.283355 , lambda = 0.200000 , time consumption = 0.455639s

unsuccessful step! iteration = 181 , error before = 59525.521779 , error next = 60051.087640 , error change = -525.565861 , lambda = 2.000000 , time consumption = 0.455676s

successful step! iteration = 182 , error before = 59525.521779 , error next = 59112.307495 , error change = 413.214284 , lambda = 0.200000 , time consumption = 0.456104s

unsuccessful step! iteration = 183 , error before = 59112.307495 , error next = 59632.739477 , error change = -520.431983 , lambda = 2.000000 , time consumption = 0.455772s

successful step! iteration = 184 , error before = 59112.307495 , error next = 58703.114835 , error change = 409.192660 , lambda = 0.200000 , time consumption = 0.456222s

unsuccessful step! iteration = 185 , error before = 58703.114835 , error next = 59218.473787 , error change = -515.358952 , lambda = 2.000000 , time consumption = 0.455958s

successful step! iteration = 186 , error before = 58703.114835 , error next = 58297.897913 , error change = 405.216922 , lambda = 0.200000 , time consumption = 0.453470s

unsuccessful step! iteration = 187 , error before = 58297.897913 , error next = 58808.242615 , error change = -510.344702 , lambda = 2.000000 , time consumption = 0.453648s

successful step! iteration = 188 , error before = 58297.897913 , error next = 57896.612284 , error change = 401.285629 , lambda = 0.200000 , time consumption = 0.454948s

unsuccessful step! iteration = 189 , error before = 57896.612284 , error next = 58401.999609 , error change = -505.387326 , lambda = 2.000000 , time consumption = 0.459834s

successful step! iteration = 190 , error before = 57896.612284 , error next = 57499.214836 , error change = 397.397448 , lambda = 0.200000 , time consumption = 0.457372s

unsuccessful step! iteration = 191 , error before = 57499.214836 , error next = 57999.699893 , error change = -500.485057 , lambda = 2.000000 , time consumption = 0.456103s

successful step! iteration = 192 , error before = 57499.214836 , error next = 57105.663693 , error change = 393.551143 , lambda = 0.200000 , time consumption = 0.459368s

