number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL

successful step! iteration = 1286 , error before = 19161.626881 , error next = 19160.765657 , error change = 0.861224 , lambda = 0.200000 , time consumption = 0.472083s

unsuccessful step! iteration = 1287 , error before = 19160.765657 , error next = 19161.851183 , error change = -1.085527 , lambda = 2.000000 , time consumption = 0.475350s

successful step! iteration = 1288 , error before = 19160.765657 , error next = 19159.914658 , error change = 0.850999 , lambda = 0.200000 , time consumption = 0.462710s

unsuccessful step! iteration = 1289 , error before = 19159.914658 , error next = 19160.987297 , error change = -1.072639 , lambda = 2.000000 , time consumption = 0.459131s

successful step! iteration = 1290 , error before = 19159.914658 , error next = 19159.073764 , error change = 0.840894 , lambda = 0.200000 , time consumption = 0.459800s

unsuccessful step! iteration = 1291 , error before = 19159.073764 , error next = 19160.133667 , error change = -1.059903 , lambda = 2.000000 , time consumption = 0.474794s

successful step! iteration = 1292 , error before = 19159.073764 , error next = 19158.242854 , error change = 0.830910 , lambda = 0.200000 , time consumption = 0.476160s

unsuccessful step! iteration = 1293 , error before = 19158.242854 , error next = 19159.290172 , error change = -1.047318 , lambda = 2.000000 , time consumption = 0.464058s

successful step! iteration = 1294 , error before = 19158.242854 , error next = 19157.421812 , error change = 0.821043 , lambda = 0.200000 , time consumption = 0.471334s

unsuccessful step! iteration = 1295 , error before = 19157.421812 , error next = 19158.456693 , error change = -1.034881 , lambda = 2.000000 , time consumption = 0.460468s

successful step! iteration = 1296 , error before = 19157.421812 , error next = 19156.610520 , error change = 0.811292 , lambda = 0.200000 , time consumption = 0.459369s

unsuccessful step! iteration = 1297 , error before = 19156.610520 , error next = 19157.633111 , error change = -1.022592 , lambda = 2.000000 , time consumption = 0.459914s

successful step! iteration = 1298 , error before = 19156.610520 , error next = 19155.808863 , error change = 0.801657 , lambda = 0.200000 , time consumption = 0.460531s

unsuccessful step! iteration = 1299 , error before = 19155.808863 , error next = 19156.819310 , error change = -1.010447 , lambda = 2.000000 , time consumption = 0.460432s

successful step! iteration = 1300 , error before = 19155.808863 , error next = 19155.016727 , error change = 0.792135 , lambda = 0.200000 , time consumption = 0.473905s

unsuccessful step! iteration = 1301 , error before = 19155.016727 , error next = 19156.015174 , error change = -0.998446 , lambda = 2.000000 , time consumption = 0.486762s

successful step! iteration = 1302 , error before = 19155.016727 , error next = 19154.234001 , error change = 0.782727 , lambda = 0.200000 , time consumption = 0.475525s

unsuccessful step! iteration = 1303 , error before = 19154.234001 , error next = 19155.220588 , error change = -0.986587 , lambda = 2.000000 , time consumption = 0.462403s

successful step! iteration = 1304 , error before = 19154.234001 , error next = 19153.460572 , error change = 0.773429 , lambda = 0.200000 , time consumption = 0.488449s

unsuccessful step! iteration = 1305 , error before = 19153.460572 , error next = 19154.435440 , error change = -0.974868 , lambda = 2.000000 , time consumption = 0.474493s

successful step! iteration = 1306 , error before = 19153.460572 , error next = 19152.696331 , error change = 0.764241 , lambda = 0.200000 , time consumption = 0.471604s

unsuccessful step! iteration = 1307 , error before = 19152.696331 , error next = 19153.659619 , error change = -0.963288 , lambda = 2.000000 , time consumption = 0.465445s

successful step! iteration = 1308 , error before = 19152.696331 , error next = 19151.941169 , error change = 0.755162 , lambda = 0.200000 , time consumption = 0.460072s

unsuccessful step! iteration = 1309 , error before = 19151.941169 , error next = 19152.893013 , error change = -0.951844 , lambda = 2.000000 , time consumption = 0.462892s

successful step! iteration = 1310 , error before = 19151.941169 , error next = 19151.194979 , error change = 0.746190 , lambda = 0.200000 , time consumption = 0.467424s

unsuccessful step! iteration = 1311 , error before = 19151.194979 , error next = 19152.135515 , error change = -0.940536 , lambda = 2.000000 , time consumption = 0.465171s

successful step! iteration = 1312 , error before = 19151.194979 , error next = 19150.457655 , error change = 0.737324 , lambda = 0.200000 , time consumption = 0.469698s

unsuccessful step! iteration = 1313 , error before = 19150.457655 , error next = 19151.387016 , error change = -0.929361 , lambda = 2.000000 , time consumption = 0.466285s

successful step! iteration = 1314 , error before = 19150.457655 , error next = 19149.729092 , error change = 0.728563 , lambda = 0.200000 , time consumption = 0.466551s

unsuccessful step! iteration = 1315 , error before = 19149.729092 , error next = 19150.647410 , error change = -0.918318 , lambda = 2.000000 , time consumption = 0.501917s

successful step! iteration = 1316 , error before = 19149.729092 , error next = 19149.009187 , error change = 0.719906 , lambda = 0.200000 , time consumption = 0.472942s

unsuccessful step! iteration = 1317 , error before = 19149.009187 , error next = 19149.916593 , error change = -0.907406 , lambda = 2.000000 , time consumption = 0.474581s

successful step! iteration = 1318 , error before = 19149.009187 , error next = 19148.297836 , error change = 0.711350 , lambda = 0.200000 , time consumption = 0.463964s

unsuccessful step! iteration = 1319 , error before = 19148.297836 , error next = 19149.194459 , error change = -0.896623 , lambda = 2.000000 , time consumption = 0.462274s

successful step! iteration = 1320 , error before = 19148.297836 , error next = 19147.594940 , error change = 0.702897 , lambda = 0.200000 , time consumption = 0.460845s

unsuccessful step! iteration = 1321 , error before = 19147.594940 , error next = 19148.480907 , error change = -0.885968 , lambda = 2.000000 , time consumption = 0.470480s

successful step! iteration = 1322 , error before = 19147.594940 , error next = 19146.900397 , error change = 0.694543 , lambda = 0.200000 , time consumption = 0.466086s

unsuccessful step! iteration = 1323 , error before = 19146.900397 , error next = 19147.775835 , error change = -0.875438 , lambda = 2.000000 , time consumption = 0.478042s

successful step! iteration = 1324 , error before = 19146.900397 , error next = 19146.214109 , error change = 0.686288 , lambda = 0.200000 , time consumption = 0.477083s

unsuccessful step! iteration = 1325 , error before = 19146.214109 , error next = 19147.079143 , error change = -0.865033 , lambda = 2.000000 , time consumption = 0.461676s

successful step! iteration = 1326 , error before = 19146.214109 , error next = 19145.535979 , error change = 0.678130 , lambda = 0.200000 , time consumption = 0.462191s

unsuccessful step! iteration = 1327 , error before = 19145.535979 , error next = 19146.390731 , error change = -0.854751 , lambda = 2.000000 , time consumption = 0.463733s

successful step! iteration = 1328 , error before = 19145.535979 , error next = 19144.865910 , error change = 0.670069 , lambda = 0.200000 , time consumption = 0.466902s

unsuccessful step! iteration = 1329 , error before = 19144.865910 , error next = 19145.710501 , error change = -0.844591 , lambda = 2.000000 , time consumption = 0.478921s

successful step! iteration = 1330 , error before = 19144.865910 , error next = 19144.203807 , error change = 0.662103 , lambda = 0.200000 , time consumption = 0.470472s

unsuccessful step! iteration = 1331 , error before = 19144.203807 , error next = 19145.038358 , error change = -0.834551 , lambda = 2.000000 , time consumption = 0.480464s

successful step! iteration = 1332 , error before = 19144.203807 , error next = 19143.549575 , error change = 0.654232 , lambda = 0.200000 , time consumption = 0.486126s

unsuccessful step! iteration = 1333 , error before = 19143.549575 , error next = 19144.374204 , error change = -0.824630 , lambda = 2.000000 , time consumption = 0.475633s

successful step! iteration = 1334 , error before = 19143.549575 , error next = 19142.903121 , error change = 0.646454 , lambda = 0.200000 , time consumption = 0.468096s

unsuccessful step! iteration = 1335 , error before = 19142.903121 , error next = 19143.717947 , error change = -0.814826 , lambda = 2.000000 , time consumption = 0.480108s

successful step! iteration = 1336 , error before = 19142.903121 , error next = 19142.264353 , error change = 0.638768 , lambda = 0.200000 , time consumption = 0.466572s

unsuccessful step! iteration = 1337 , error before = 19142.264353 , error next = 19143.069491 , error change = -0.805138 , lambda = 2.000000 , time consumption = 0.470468s

successful step! iteration = 1338 , error before = 19142.264353 , error next = 19141.633180 , error change = 0.631173 , lambda = 0.200000 , time consumption = 0.477090s

unsuccessful step! iteration = 1339 , error before = 19141.633180 , error next = 19142.428745 , error change = -0.795565 , lambda = 2.000000 , time consumption = 0.475799s

successful step! iteration = 1340 , error before = 19141.633180 , error next = 19141.009513 , error change = 0.623667 , lambda = 0.200000 , time consumption = 0.482220s

unsuccessful step! iteration = 1341 , error before = 19141.009513 , error next = 19141.795618 , error change = -0.786105 , lambda = 2.000000 , time consumption = 0.470638s

successful step! iteration = 1342 , error before = 19141.009513 , error next = 19140.393262 , error change = 0.616251 , lambda = 0.200000 , time consumption = 0.487794s

unsuccessful step! iteration = 1343 , error before = 19140.393262 , error next = 19141.170019 , error change = -0.776757 , lambda = 2.000000 , time consumption = 0.490726s

successful step! iteration = 1344 , error before = 19140.393262 , error next = 19139.784340 , error change = 0.608922 , lambda = 0.200000 , time consumption = 0.464638s

unsuccessful step! iteration = 1345 , error before = 19139.784340 , error next = 19140.551860 , error change = -0.767520 , lambda = 2.000000 , time consumption = 0.480007s

successful step! iteration = 1346 , error before = 19139.784340 , error next = 19139.182660 , error change = 0.601680 , lambda = 0.200000 , time consumption = 0.465671s

unsuccessful step! iteration = 1347 , error before = 19139.182660 , error next = 19139.941052 , error change = -0.758392 , lambda = 2.000000 , time consumption = 0.473088s

successful step! iteration = 1348 , error before = 19139.182660 , error next = 19138.588136 , error change = 0.594524 , lambda = 0.200000 , time consumption = 0.464996s

unsuccessful step! iteration = 1349 , error before = 19138.588136 , error next = 19139.337508 , error change = -0.749372 , lambda = 2.000000 , time consumption = 0.471373s

successful step! iteration = 1350 , error before = 19138.588136 , error next = 19138.000684 , error change = 0.587453 , lambda = 0.200000 , time consumption = 0.483974s

unsuccessful step! iteration = 1351 , error before = 19138.000684 , error next = 19138.741142 , error change = -0.740459 , lambda = 2.000000 , time consumption = 0.477092s

successful step! iteration = 1352 , error before = 19138.000684 , error next = 19137.420219 , error change = 0.580465 , lambda = 0.200000 , time consumption = 0.461231s

unsuccessful step! iteration = 1353 , error before = 19137.420219 , error next = 19138.151870 , error change = -0.731651 , lambda = 2.000000 , time consumption = 0.461105s

successful step! iteration = 1354 , error before = 19137.420219 , error next = 19136.846659 , error change = 0.573560 , lambda = 0.200000 , time consumption = 0.464570s

unsuccessful step! iteration = 1355 , error before = 19136.846659 , error next = 19137.569607 , error change = -0.722948 , lambda = 2.000000 , time consumption = 0.475166s

successful step! iteration = 1356 , error before = 19136.846659 , error next = 19136.279922 , error change = 0.566737 , lambda = 0.200000 , time consumption = 0.458056s

unsuccessful step! iteration = 1357 , error before = 19136.279922 , error next = 19136.994270 , error change = -0.714348 , lambda = 2.000000 , time consumption = 0.455156s

successful step! iteration = 1358 , error before = 19136.279922 , error next = 19135.719928 , error change = 0.559994 , lambda = 0.200000 , time consumption = 0.457665s

unsuccessful step! iteration = 1359 , error before = 19135.719928 , error next = 19136.425777 , error change = -0.705850 , lambda = 2.000000 , time consumption = 0.459155s

successful step! iteration = 1360 , error before = 19135.719928 , error next = 19135.166596 , error change = 0.553332 , lambda = 0.200000 , time consumption = 0.456335s

unsuccessful step! iteration = 1361 , error before = 19135.166596 , error next = 19135.864048 , error change = -0.697452 , lambda = 2.000000 , time consumption = 0.454693s

successful step! iteration = 1362 , error before = 19135.166596 , error next = 19134.619847 , error change = 0.546748 , lambda = 0.200000 , time consumption = 0.457129s

unsuccessful step! iteration = 1363 , error before = 19134.619847 , error next = 19135.309001 , error change = -0.689154 , lambda = 2.000000 , time consumption = 0.469643s

successful step! iteration = 1364 , error before = 19134.619847 , error next = 19134.079605 , error change = 0.540243 , lambda = 0.200000 , time consumption = 0.457560s

unsuccessful step! iteration = 1365 , error before = 19134.079605 , error next = 19134.760559 , error change = -0.680954 , lambda = 2.000000 , time consumption = 0.455437s

successful step! iteration = 1366 , error before = 19134.079605 , error next = 19133.545790 , error change = 0.533814 , lambda = 0.200000 , time consumption = 0.464920s

unsuccessful step! iteration = 1367 , error before = 19133.545790 , error next = 19134.218641 , error change = -0.672851 , lambda = 2.000000 , time consumption = 0.463971s

successful step! iteration = 1368 , error before = 19133.545790 , error next = 19133.018328 , error change = 0.527462 , lambda = 0.200000 , time consumption = 0.465426s

unsuccessful step! iteration = 1369 , error before = 19133.018328 , error next = 19133.683173 , error change = -0.664845 , lambda = 2.000000 , time consumption = 0.465702s

successful step! iteration = 1370 , error before = 19133.018328 , error next = 19132.497143 , error change = 0.521185 , lambda = 0.200000 , time consumption = 0.462908s

unsuccessful step! iteration = 1371 , error before = 19132.497143 , error next = 19133.154076 , error change = -0.656933 , lambda = 2.000000 , time consumption = 0.465212s

successful step! iteration = 1372 , error before = 19132.497143 , error next = 19131.982161 , error change = 0.514982 , lambda = 0.200000 , time consumption = 0.467595s

unsuccessful step! iteration = 1373 , error before = 19131.982161 , error next = 19132.631276 , error change = -0.649115 , lambda = 2.000000 , time consumption = 0.469784s

successful step! iteration = 1374 , error before = 19131.982161 , error next = 19131.473308 , error change = 0.508853 , lambda = 0.200000 , time consumption = 0.467348s

unsuccessful step! iteration = 1375 , error before = 19131.473308 , error next = 19132.114697 , error change = -0.641389 , lambda = 2.000000 , time consumption = 0.468853s

successful step! iteration = 1376 , error before = 19131.473308 , error next = 19130.970511 , error change = 0.502797 , lambda = 0.200000 , time consumption = 0.464226s

unsuccessful step! iteration = 1377 , error before = 19130.970511 , error next = 19131.604267 , error change = -0.633756 , lambda = 2.000000 , time consumption = 0.464620s

successful step! iteration = 1378 , error before = 19130.970511 , error next = 19130.473699 , error change = 0.496812 , lambda = 0.200000 , time consumption = 0.462166s

unsuccessful step! iteration = 1379 , error before = 19130.473699 , error next = 19131.099911 , error change = -0.626212 , lambda = 2.000000 , time consumption = 0.458590s

successful step! iteration = 1380 , error before = 19130.473699 , error next = 19129.982801 , error change = 0.490898 , lambda = 0.200000 , time consumption = 0.472259s

unsuccessful step! iteration = 1381 , error before = 19129.982801 , error next = 19130.601559 , error change = -0.618758 , lambda = 2.000000 , time consumption = 0.468514s

successful step! iteration = 1382 , error before = 19129.982801 , error next = 19129.497746 , error change = 0.485055 , lambda = 0.200000 , time consumption = 0.470258s

unsuccessful step! iteration = 1383 , error before = 19129.497746 , error next = 19130.109139 , error change = -0.611393 , lambda = 2.000000 , time consumption = 0.462660s

successful step! iteration = 1384 , error before = 19129.497746 , error next = 19129.018466 , error change = 0.479280 , lambda = 0.200000 , time consumption = 0.461151s

unsuccessful step! iteration = 1385 , error before = 19129.018466 , error next = 19129.622581 , error change = -0.604114 , lambda = 2.000000 , time consumption = 0.462200s

successful step! iteration = 1386 , error before = 19129.018466 , error next = 19128.544892 , error change = 0.473574 , lambda = 0.200000 , time consumption = 0.463864s

unsuccessful step! iteration = 1387 , error before = 19128.544892 , error next = 19129.141814 , error change = -0.596923 , lambda = 2.000000 , time consumption = 0.491826s

successful step! iteration = 1388 , error before = 19128.544892 , error next = 19128.076956 , error change = 0.467936 , lambda = 0.200000 , time consumption = 0.485270s

unsuccessful step! iteration = 1389 , error before = 19128.076956 , error next = 19128.666772 , error change = -0.589816 , lambda = 2.000000 , time consumption = 0.468872s

successful step! iteration = 1390 , error before = 19128.076956 , error next = 19127.614591 , error change = 0.462365 , lambda = 0.200000 , time consumption = 0.491233s

unsuccessful step! iteration = 1391 , error before = 19127.614591 , error next = 19128.197384 , error change = -0.582793 , lambda = 2.000000 , time consumption = 0.488977s

successful step! iteration = 1392 , error before = 19127.614591 , error next = 19127.157732 , error change = 0.456859 , lambda = 0.200000 , time consumption = 0.527685s

unsuccessful step! iteration = 1393 , error before = 19127.157732 , error next = 19127.733586 , error change = -0.575854 , lambda = 2.000000 , time consumption = 0.488194s

successful step! iteration = 1394 , error before = 19127.157732 , error next = 19126.706312 , error change = 0.451419 , lambda = 0.200000 , time consumption = 0.468115s

unsuccessful step! iteration = 1395 , error before = 19126.706312 , error next = 19127.275310 , error change = -0.568998 , lambda = 2.000000 , time consumption = 0.486583s

successful step! iteration = 1396 , error before = 19126.706312 , error next = 19126.260268 , error change = 0.446044 , lambda = 0.200000 , time consumption = 0.472892s

unsuccessful step! iteration = 1397 , error before = 19126.260268 , error next = 19126.822490 , error change = -0.562222 , lambda = 2.000000 , time consumption = 0.466709s

successful step! iteration = 1398 , error before = 19126.260268 , error next = 19125.819536 , error change = 0.440732 , lambda = 0.200000 , time consumption = 0.466288s

unsuccessful step! iteration = 1399 , error before = 19125.819536 , error next = 19126.375063 , error change = -0.555527 , lambda = 2.000000 , time consumption = 0.464065s

successful step! iteration = 1400 , error before = 19125.819536 , error next = 19125.384053 , error change = 0.435483 , lambda = 0.200000 , time consumption = 0.478928s

unsuccessful step! iteration = 1401 , error before = 19125.384053 , error next = 19125.932964 , error change = -0.548911 , lambda = 2.000000 , time consumption = 0.463434s

successful step! iteration = 1402 , error before = 19125.384053 , error next = 19124.953756 , error change = 0.430297 , lambda = 0.200000 , time consumption = 0.462540s

unsuccessful step! iteration = 1403 , error before = 19124.953756 , error next = 19125.496130 , error change = -0.542374 , lambda = 2.000000 , time consumption = 0.468610s

successful step! iteration = 1404 , error before = 19124.953756 , error next = 19124.528583 , error change = 0.425172 , lambda = 0.200000 , time consumption = 0.465984s

unsuccessful step! iteration = 1405 , error before = 19124.528583 , error next = 19125.064498 , error change = -0.535914 , lambda = 2.000000 , time consumption = 0.470401s

successful step! iteration = 1406 , error before = 19124.528583 , error next = 19124.108475 , error change = 0.420108 , lambda = 0.200000 , time consumption = 0.466693s

unsuccessful step! iteration = 1407 , error before = 19124.108475 , error next = 19124.638007 , error change = -0.529531 , lambda = 2.000000 , time consumption = 0.466589s

successful step! iteration = 1408 , error before = 19124.108475 , error next = 19123.693371 , error change = 0.415104 , lambda = 0.200000 , time consumption = 0.478771s

unsuccessful step! iteration = 1409 , error before = 19123.693371 , error next = 19124.216595 , error change = -0.523224 , lambda = 2.000000 , time consumption = 0.461584s

successful step! iteration = 1410 , error before = 19123.693371 , error next = 19123.283212 , error change = 0.410159 , lambda = 0.200000 , time consumption = 0.463025s

unsuccessful step! iteration = 1411 , error before = 19123.283212 , error next = 19123.800204 , error change = -0.516992 , lambda = 2.000000 , time consumption = 0.464040s

successful step! iteration = 1412 , error before = 19123.283212 , error next = 19122.877938 , error change = 0.405273 , lambda = 0.200000 , time consumption = 0.464901s

unsuccessful step! iteration = 1413 , error before = 19122.877938 , error next = 19123.388772 , error change = -0.510833 , lambda = 2.000000 , time consumption = 0.465868s

successful step! iteration = 1414 , error before = 19122.877938 , error next = 19122.477493 , error change = 0.400446 , lambda = 0.200000 , time consumption = 0.465362s

unsuccessful step! iteration = 1415 , error before = 19122.477493 , error next = 19122.982241 , error change = -0.504748 , lambda = 2.000000 , time consumption = 0.464199s

successful step! iteration = 1416 , error before = 19122.477493 , error next = 19122.081818 , error change = 0.395675 , lambda = 0.200000 , time consumption = 0.463765s

unsuccessful step! iteration = 1417 , error before = 19122.081818 , error next = 19122.580553 , error change = -0.498735 , lambda = 2.000000 , time consumption = 0.470260s

successful step! iteration = 1418 , error before = 19122.081818 , error next = 19121.690857 , error change = 0.390961 , lambda = 0.200000 , time consumption = 0.485509s

unsuccessful step! iteration = 1419 , error before = 19121.690857 , error next = 19122.183650 , error change = -0.492793 , lambda = 2.000000 , time consumption = 0.477712s

successful step! iteration = 1420 , error before = 19121.690857 , error next = 19121.304554 , error change = 0.386303 , lambda = 0.200000 , time consumption = 0.467774s

unsuccessful step! iteration = 1421 , error before = 19121.304554 , error next = 19121.791476 , error change = -0.486922 , lambda = 2.000000 , time consumption = 0.465810s

successful step! iteration = 1422 , error before = 19121.304554 , error next = 19120.922854 , error change = 0.381700 , lambda = 0.200000 , time consumption = 0.478772s

unsuccessful step! iteration = 1423 , error before = 19120.922854 , error next = 19121.403975 , error change = -0.481120 , lambda = 2.000000 , time consumption = 0.461789s

successful step! iteration = 1424 , error before = 19120.922854 , error next = 19120.545702 , error change = 0.377152 , lambda = 0.200000 , time consumption = 0.463454s

unsuccessful step! iteration = 1425 , error before = 19120.545702 , error next = 19121.021090 , error change = -0.475388 , lambda = 2.000000 , time consumption = 0.459527s

successful step! iteration = 1426 , error before = 19120.545702 , error next = 19120.173045 , error change = 0.372658 , lambda = 0.200000 , time consumption = 0.462081s

unsuccessful step! iteration = 1427 , error before = 19120.173045 , error next = 19120.642768 , error change = -0.469723 , lambda = 2.000000 , time consumption = 0.462297s

successful step! iteration = 1428 , error before = 19120.173045 , error next = 19119.804828 , error change = 0.368217 , lambda = 0.200000 , time consumption = 0.463479s

unsuccessful step! iteration = 1429 , error before = 19119.804828 , error next = 19120.268953 , error change = -0.464126 , lambda = 2.000000 , time consumption = 0.462705s

successful step! iteration = 1430 , error before = 19119.804828 , error next = 19119.440999 , error change = 0.363829 , lambda = 0.200000 , time consumption = 0.464527s

unsuccessful step! iteration = 1431 , error before = 19119.440999 , error next = 19119.899593 , error change = -0.458595 , lambda = 2.000000 , time consumption = 0.465965s

successful step! iteration = 1432 , error before = 19119.440999 , error next = 19119.081505 , error change = 0.359493 , lambda = 0.200000 , time consumption = 0.481560s

unsuccessful step! iteration = 1433 , error before = 19119.081505 , error next = 19119.534635 , error change = -0.453130 , lambda = 2.000000 , time consumption = 0.462719s

successful step! iteration = 1434 , error before = 19119.081505 , error next = 19118.726297 , error change = 0.355209 , lambda = 0.200000 , time consumption = 0.468943s

unsuccessful step! iteration = 1435 , error before = 19118.726297 , error next = 19119.174026 , error change = -0.447729 , lambda = 2.000000 , time consumption = 0.480682s

successful step! iteration = 1436 , error before = 19118.726297 , error next = 19118.375321 , error change = 0.350975 , lambda = 0.200000 , time consumption = 0.482449s

unsuccessful step! iteration = 1437 , error before = 19118.375321 , error next = 19118.817715 , error change = -0.442393 , lambda = 2.000000 , time consumption = 0.487109s

successful step! iteration = 1438 , error before = 19118.375321 , error next = 19118.028530 , error change = 0.346792 , lambda = 0.200000 , time consumption = 0.473721s

unsuccessful step! iteration = 1439 , error before = 19118.028530 , error next = 19118.465650 , error change = -0.437120 , lambda = 2.000000 , time consumption = 0.475736s

successful step! iteration = 1440 , error before = 19118.028530 , error next = 19117.685871 , error change = 0.342658 , lambda = 0.200000 , time consumption = 0.485577s

unsuccessful step! iteration = 1441 , error before = 19117.685871 , error next = 19118.117781 , error change = -0.431910 , lambda = 2.000000 , time consumption = 0.470036s

successful step! iteration = 1442 , error before = 19117.685871 , error next = 19117.347297 , error change = 0.338574 , lambda = 0.200000 , time consumption = 0.469081s

unsuccessful step! iteration = 1443 , error before = 19117.347297 , error next = 19117.774059 , error change = -0.426762 , lambda = 2.000000 , time consumption = 0.467166s

successful step! iteration = 1444 , error before = 19117.347297 , error next = 19117.012759 , error change = 0.334538 , lambda = 0.200000 , time consumption = 0.470497s

unsuccessful step! iteration = 1445 , error before = 19117.012759 , error next = 19117.434434 , error change = -0.421675 , lambda = 2.000000 , time consumption = 0.473640s

successful step! iteration = 1446 , error before = 19117.012759 , error next = 19116.682209 , error change = 0.330550 , lambda = 0.200000 , time consumption = 0.465393s

unsuccessful step! iteration = 1447 , error before = 19116.682209 , error next = 19117.098857 , error change = -0.416648 , lambda = 2.000000 , time consumption = 0.481603s

successful step! iteration = 1448 , error before = 19116.682209 , error next = 19116.355600 , error change = 0.326609 , lambda = 0.200000 , time consumption = 0.464592s

unsuccessful step! iteration = 1449 , error before = 19116.355600 , error next = 19116.767281 , error change = -0.411681 , lambda = 2.000000 , time consumption = 0.476242s

successful step! iteration = 1450 , error before = 19116.355600 , error next = 19116.032884 , error change = 0.322716 , lambda = 0.200000 , time consumption = 0.463940s

unsuccessful step! iteration = 1451 , error before = 19116.032884 , error next = 19116.439657 , error change = -0.406773 , lambda = 2.000000 , time consumption = 0.473130s

successful step! iteration = 1452 , error before = 19116.032884 , error next = 19115.714016 , error change = 0.318868 , lambda = 0.200000 , time consumption = 0.463215s

unsuccessful step! iteration = 1453 , error before = 19115.714016 , error next = 19116.115940 , error change = -0.401924 , lambda = 2.000000 , time consumption = 0.470960s

successful step! iteration = 1454 , error before = 19115.714016 , error next = 19115.398950 , error change = 0.315066 , lambda = 0.200000 , time consumption = 0.468569s

unsuccessful step! iteration = 1455 , error before = 19115.398950 , error next = 19115.796081 , error change = -0.397132 , lambda = 2.000000 , time consumption = 0.463753s

successful step! iteration = 1456 , error before = 19115.398950 , error next = 19115.087640 , error change = 0.311310 , lambda = 0.200000 , time consumption = 0.464760s

unsuccessful step! iteration = 1457 , error before = 19115.087640 , error next = 19115.480037 , error change = -0.392397 , lambda = 2.000000 , time consumption = 0.465855s

successful step! iteration = 1458 , error before = 19115.087640 , error next = 19114.780042 , error change = 0.307598 , lambda = 0.200000 , time consumption = 0.483145s

unsuccessful step! iteration = 1459 , error before = 19114.780042 , error next = 19115.167760 , error change = -0.387718 , lambda = 2.000000 , time consumption = 0.495555s

successful step! iteration = 1460 , error before = 19114.780042 , error next = 19114.476112 , error change = 0.303930 , lambda = 0.200000 , time consumption = 0.462064s

unsuccessful step! iteration = 1461 , error before = 19114.476112 , error next = 19114.859207 , error change = -0.383095 , lambda = 2.000000 , time consumption = 0.476138s

successful step! iteration = 1462 , error before = 19114.476112 , error next = 19114.175806 , error change = 0.300306 , lambda = 0.200000 , time consumption = 0.471544s

unsuccessful step! iteration = 1463 , error before = 19114.175806 , error next = 19114.554333 , error change = -0.378527 , lambda = 2.000000 , time consumption = 0.517516s

successful step! iteration = 1464 , error before = 19114.175806 , error next = 19113.879082 , error change = 0.296725 , lambda = 0.200000 , time consumption = 0.487111s

unsuccessful step! iteration = 1465 , error before = 19113.879082 , error next = 19114.253095 , error change = -0.374013 , lambda = 2.000000 , time consumption = 0.469358s

successful step! iteration = 1466 , error before = 19113.879082 , error next = 19113.585896 , error change = 0.293186 , lambda = 0.200000 , time consumption = 0.469248s

unsuccessful step! iteration = 1467 , error before = 19113.585896 , error next = 19113.955448 , error change = -0.369553 , lambda = 2.000000 , time consumption = 0.471522s

successful step! iteration = 1468 , error before = 19113.585896 , error next = 19113.296206 , error change = 0.289689 , lambda = 0.200000 , time consumption = 0.469283s

unsuccessful step! iteration = 1469 , error before = 19113.296206 , error next = 19113.661352 , error change = -0.365145 , lambda = 2.000000 , time consumption = 0.491189s

successful step! iteration = 1470 , error before = 19113.296206 , error next = 19113.009972 , error change = 0.286234 , lambda = 0.200000 , time consumption = 0.468991s

unsuccessful step! iteration = 1471 , error before = 19113.009972 , error next = 19113.370762 , error change = -0.360791 , lambda = 2.000000 , time consumption = 0.469615s

successful step! iteration = 1472 , error before = 19113.009972 , error next = 19112.727151 , error change = 0.282821 , lambda = 0.200000 , time consumption = 0.465887s

unsuccessful step! iteration = 1473 , error before = 19112.727151 , error next = 19113.083639 , error change = -0.356488 , lambda = 2.000000 , time consumption = 0.471614s

successful step! iteration = 1474 , error before = 19112.727151 , error next = 19112.447704 , error change = 0.279447 , lambda = 0.200000 , time consumption = 0.476043s

unsuccessful step! iteration = 1475 , error before = 19112.447704 , error next = 19112.799940 , error change = -0.352236 , lambda = 2.000000 , time consumption = 0.470355s

successful step! iteration = 1476 , error before = 19112.447704 , error next = 19112.171590 , error change = 0.276114 , lambda = 0.200000 , time consumption = 0.466666s

unsuccessful step! iteration = 1477 , error before = 19112.171590 , error next = 19112.519624 , error change = -0.348034 , lambda = 2.000000 , time consumption = 0.470227s

successful step! iteration = 1478 , error before = 19112.171590 , error next = 19111.898769 , error change = 0.272821 , lambda = 0.200000 , time consumption = 0.467869s

unsuccessful step! iteration = 1479 , error before = 19111.898769 , error next = 19112.242652 , error change = -0.343883 , lambda = 2.000000 , time consumption = 0.472076s

successful step! iteration = 1480 , error before = 19111.898769 , error next = 19111.629203 , error change = 0.269566 , lambda = 0.200000 , time consumption = 0.464541s

unsuccessful step! iteration = 1481 , error before = 19111.629203 , error next = 19111.968984 , error change = -0.339781 , lambda = 2.000000 , time consumption = 0.471443s

